uid,age
172368,47
172377,40
172787,62
172813,45
172859,42
173380,38
173673,37
173682,49
175595,51
175950,43
175991,46
176116,43
176198,39
176328,42
176337,40
176508,43
176553,43
176666,36
176909,39
177755,39
177791,43
177822,42
177935,44
177999,53
178303,45
178358,43
178538,41
178565,50
178673,43
178727,46
178786,48
179681,42
179933,41
180021,59
180085,40
180251,49
180297,47
180319,42
180576,60
181151,48
181818,43
183343,58
185076,54
185328,41
185855,44
186363,37
186507,59
187259,54
188271,55
188537,43
188587,48
189220,42
189383,48
189757,47
189888,48
190066,50
190386,53
190552,50
190679,37
190700,39
191673,46
191899,42
191939,41
192000,46
192055,44
192163,37
192258,37
192280,61
192726,34
192807,40
192852,44
193018,48
193081,45
193577,40
193617,49
193676,46
193757,38
193860,49
195007,39
195129,38
195665,41
195692,40
195700,44
195827,48
195836,46
195908,39
195917,46
195971,44
196092,43
196277,48
196371,47
196380,58
197000,39
197037,41
197578,46
197857,46
197929,38
198031,41
198068,40
198293,38
198306,48
198383,43
199193,49
199657,39
199661,38
199698,40
199855,53
199918,47
199986,37
200032,37
200190,55
200636,44
200668,44
200811,42
201103,31
201810,44
201860,34
201888,40
201982,43
202008,45
202017,46
202198,48
202508,48
202620,34
202891,57
203098,42
203322,54
203386,45
203502,37
203660,41
203665,48
203683,48
203723,50
203750,44
203890,44
203921,46
205109,47
205375,58
205519,49
205618,43
205659,45
205767,46
205771,45
205852,44
206081,38
206108,37
206667,41
206798,43
206932,66
207170,34
207300,38
207328,41
207382,39
207576,40
207913,37
208066,41
208160,40
208598,52
208926,44
209079,44
209281,40
209321,39
209335,44
209399,39
210130,44
210699,45
211125,45
211878,45
211931,44
211968,46
212066,54
212200,57
212327,42
213218,43
213268,52
213722,48
215153,43
215171,39
215775,68
216995,44
217002,48
217052,63
217197,58
217269,59
217318,78
217520,54
217570,53
217732,50
217769,51
217787,61
217868,45
218321,52
218556,40
219316,41
225288,35
226011,39
226601,53
226868,41
226999,39
227321,44
227579,38
227925,51
228712,46
228799,59
229577,40
229829,46
229892,41
237622,40
238973,51
239062,48
250032,53
251559,63
251725,42
252107,69
252599,40
252710,43
255582,53
256036,42
256680,43
257166,45
257530,39
258601,38
258791,48
259182,47
259795,43
259821,70
260829,55
261396,34
262011,60
262363,45
262589,35
262796,35
263876,65
265798,47
267291,41
269028,47
269370,34
269753,49
270076,45
271589,52
271813,44
273131,35
279180,37
279360,42
279577,43
282028,52
285228,62
285836,49
287523,48
287695,46
290227,36
290272,47
291875,39
293968,37
300081,46
301319,35
305388,45
305595,66
305707,44
307011,37
308858,45
312556,46
313591,56
323577,47
325002,37
325192,42
325782,47
325868,40
325912,54
326029,38
326038,52
326056,43
326678,44
327181,41
327500,43
328577,45
328897,43
329099,48
329580,52
329670,41
330128,46
330592,45
330619,41
331898,51
332086,48
